epoch,auc,binary_accuracy,loss,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.9796362519264221,0.9710400104522705,0.0822368785738945,0.8671873807907104,0.7852697968482971,NA,NA,NA,NA,NA
1,0.9777473211288452,0.9689945578575134,0.08678682893514633,0.8609492182731628,0.7649065852165222,NA,NA,NA,NA,NA
2,0.9778398275375366,0.9693958163261414,0.08620873093605042,0.8692842721939087,0.760389506816864,NA,NA,NA,NA,NA
3,0.9798662662506104,0.9705749154090881,0.08179059624671936,0.8698363304138184,0.7757439017295837,NA,NA,NA,NA,NA
4,0.9798558354377747,0.9709203243255615,0.08187205344438553,0.8728002905845642,0.776903510093689,NA,NA,NA,NA,NA
0,0.9961124658584595,0.9914492964744568,0.024206312373280525,0.9540342092514038,0.9161348342895508,NA,NA,NA,NA,NA
1,0.9954239130020142,0.9911882877349854,0.025320829823613167,0.9522449374198914,0.9139153361320496,NA,NA,NA,NA,NA
2,0.9954090714454651,0.991020679473877,0.026081876829266548,0.9554762244224548,0.9078391194343567,NA,NA,NA,NA,NA
3,0.9956205487251282,0.9914018511772156,0.024941176176071167,0.959375262260437,0.9097954034805298,NA,NA,NA,NA,NA
4,0.9956693649291992,0.9913084506988525,0.025040581822395325,0.9584546089172363,0.9092622399330139,NA,NA,NA,NA,NA
