epoch,auc,binary_accuracy,loss,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.9816508889198303,0.9729097485542297,0.07768137753009796,0.8748714923858643,0.8037573099136353,NA,NA,NA,NA,NA
1,0.9775375127792358,0.9691784977912903,0.08764120191335678,0.8665841221809387,0.7633915543556213,NA,NA,NA,NA,NA
2,0.9773828387260437,0.9686972498893738,0.08828292787075043,0.8678823113441467,0.7553860545158386,NA,NA,NA,NA,NA
3,0.9766200184822083,0.968170166015625,0.08983109891414642,0.8702352643013,0.7454389333724976,NA,NA,NA,NA,NA
4,0.9764257073402405,0.9684853553771973,0.0900140032172203,0.8705979585647583,0.749252200126648,NA,NA,NA,NA,NA
0,0.9944660663604736,0.9885966181755066,0.03263290226459503,0.947197675704956,0.8860325217247009,NA,NA,NA,NA,NA
1,0.9933298826217651,0.9884911775588989,0.034178029745817184,0.9495720267295837,0.881949782371521,NA,NA,NA,NA,NA
2,0.9938327074050903,0.9885082840919495,0.033546146005392075,0.9496410489082336,0.8821457624435425,NA,NA,NA,NA,NA
3,0.9933114051818848,0.9883213639259338,0.034258581697940826,0.9494772553443909,0.8794919848442078,NA,NA,NA,NA,NA
4,0.9927359223365784,0.9881947040557861,0.03512429818511009,0.9484265446662903,0.8786400556564331,NA,NA,NA,NA,NA
