epoch,auc,binary_accuracy,loss,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.9801076650619507,0.9709241986274719,0.08271736651659012,0.864237368106842,0.7919339537620544,NA,NA,NA,NA,NA
1,0.9750063419342041,0.966812789440155,0.09325709193944931,0.8557375073432922,0.7462586760520935,NA,NA,NA,NA,NA
2,0.9765587449073792,0.9680497646331787,0.08977498859167099,0.8618672490119934,0.7557799220085144,NA,NA,NA,NA,NA
3,0.9795362949371338,0.97120201587677,0.08259881287813187,0.8761603236198425,0.7811912894248962,NA,NA,NA,NA,NA
4,0.9802338480949402,0.9719350934028625,0.08108291029930115,0.8780465722084045,0.7887001037597656,NA,NA,NA,NA,NA
0,0.9812611937522888,0.9731422066688538,0.07821321487426758,0.8856269717216492,0.795711100101471,NA,NA,NA,NA,NA
1,0.9819917678833008,0.9733774662017822,0.07675882428884506,0.8877837061882019,0.7963218092918396,NA,NA,NA,NA,NA
2,0.9819106459617615,0.9733443260192871,0.07713349163532257,0.8894346952438354,0.7940418720245361,NA,NA,NA,NA,NA
3,0.9819759130477905,0.9737715721130371,0.07619431614875793,0.8881651759147644,0.8010445833206177,NA,NA,NA,NA,NA
4,0.9824199676513672,0.9738942384719849,0.07530152052640915,0.8925029039382935,0.7976478934288025,NA,NA,NA,NA,NA
