epoch,auc,binary_accuracy,loss,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.9792367219924927,0.9705002903938293,0.083990678191185,0.8608335852622986,0.7890344858169556,NA,NA,NA,NA,NA
1,0.9772995114326477,0.969270646572113,0.08800108730792999,0.8649188876152039,0.767231285572052,NA,NA,NA,NA,NA
2,0.9766188263893127,0.9684478044509888,0.08930252492427826,0.8614957928657532,0.7601999044418335,NA,NA,NA,NA,NA
3,0.9776760339736938,0.9694281816482544,0.08738875389099121,0.8722651600837708,0.7605892419815063,NA,NA,NA,NA,NA
4,0.9814687371253967,0.973366379737854,0.07717734575271606,0.8886648416519165,0.7939448356628418,NA,NA,NA,NA,NA
0,0.9884754419326782,0.9795352816581726,0.05840900540351868,0.9033147096633911,0.8308814764022827,NA,NA,NA,NA,NA
1,0.9879786968231201,0.9795306324958801,0.05855703353881836,0.9063101410865784,0.8274862170219421,NA,NA,NA,NA,NA
2,0.9869381785392761,0.9791155457496643,0.06063740700483322,0.9032778143882751,0.825035035610199,NA,NA,NA,NA,NA
3,0.9870380759239197,0.9791024923324585,0.06059106066823006,0.905037522315979,0.8228759765625,NA,NA,NA,NA,NA
4,0.9866467118263245,0.9787930846214294,0.061070334166288376,0.9005026817321777,0.8236210346221924,NA,NA,NA,NA,NA
